23/6.0.0; 312dpi; 720x1346; motorola; Moto Z3 Play; beckham; mt6580
23/6.0.0; 320dpi; 720x1184; A8-G5J5J7K10; A8-G5J5J7K10; A8-G5J5J7K10; mt6735
23/6.0.0; 320dpi; 720x1184; BLU; BLU ENERGY X PLUS 2; BLU_ENERGY_X_PLUS_2; mt6580
23/6.0.0; 320dpi; 720x1184; BLU; BLU GRAND 5.5 HD; BLU_GRAND_5_5_HD; mt6580
23/6.0.0; 320dpi; 720x1184; BLU; Grand X; Grand_X; mt6580
23/6.0.0; 320dpi; 720x1184; SKY Devices; PLATINUM 5.0+; PLATINUM 5.0+; mt6580
23/6.0.0; 320dpi; 720x1184; Sony; F3311; F3311; mt6735
23/6.0.0; 320dpi; 720x1184; alps; JICAI Q2; tx6580_weg_m; mt6580
23/6.0.0; 320dpi; 720x1184; asus; ASUS_X008D; ASUS_X008_1; mt6735
23/6.0.0; 320dpi; 720x1184; asus; ASUS_X008DB; ASUS_X008_1; mt6735
23/6.0.0; 320dpi; 720x1213; Quantum; Quantum MUV PRO; Q5; mt6735
23/6.0.0; 320dpi; 720x1280; BLU; Studio G2 HD; Studio_G2_HD; mt6580
23/6.0.0; 320dpi; 720x1280; BLU; VIVO 5; BLU_VIVO_5; mt6735
23/6.0.0; 320dpi; 720x1280; CUBOT; CUBOT MAX; x6069_cubot_5365u; mt6735
23/6.0.0; 320dpi; 720x1280; DOOGEE; X5max_PRO; X5max_PRO; mt6735
23/6.0.0; 320dpi; 720x1280; HOMTOM; HT16; br6580_weg_emmc_m; mt6580
23/6.0.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735
23/6.0.0; 320dpi; 720x1280; XION; XI-CEU7; s07_64v8; s07_64v8
23/6.0.0; 320dpi; 720x1280; nubia; NX573J; NX573J; mt6755
23/6.0.0; 320dpi; 720x1344; alps; G6 Plus; G6_Plus; mt6580
23/6.0.0; 360dpi; 1080x1920; LENOVO; Lenovo PB2-670N; PB2-670N; mt6735
23/6.0.0; 400dpi; 1080x1920; ulefone; Vienna; Vienna; mt6735
23/6.0.0; 420dpi; 1080x1920; LeMobile; LEX650; le_x7; mt6797
23/6.0.0; 460dpi; 1080x1920; Xiaomi; Le X626; le_x626; mt6797
23/6.0.0; 480dpi; 1080x1776; LGE; LG-H736; p1bdsn; p1b
23/6.0.0; 480dpi; 1080x1776; Sony; E5343; E5343; mt6752
23/6.0.0; 480dpi; 1080x1776; Sony; E5653; E5653; mt6795
23/6.0.0; 480dpi; 1080x1776; motorola; XT1662; kungfu_m; mt6755
23/6.0.0; 480dpi; 1080x1776; motorola; XT1663; XT1663; mt6755
